id,小区名称,所在区域,所在位置,交通情况,总价,单价,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源编码,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,用水类型,用电类型,燃气价格
12,春波南苑,滨江区,长河,null,249,30825,2025-02-28,商品房,2019-12-10,普通住宅,满五年,共有,有抵押 业主自还,已上传房本照片,190722356435,2室2厅1厨1卫,低楼层 (共6层),80.78,平层,暂无数据,板塔结合,南 北,混合结构,其他,两梯两户,有,暂无数据,,,
13,太阳国际公寓,滨江区,彩虹城,null,326,38201,2024-07-20,商品房,2013-03-05,普通住宅,满五年,共有,无抵押,已上传房本照片,240817SI941717,2室1厅1厨1卫,低楼层 (共31层),85.34,平层,65.11,板楼,南,混合结构,精装,两梯四户,有,暂无数据,,,
14,欣盛东方郡东区,滨江区,滨江区政府,null,400,45941,2022-04-19,商品房,2017-05-18,普通住宅,满五年,非共有,有抵押 中国工商银行城站支行,已上传房本照片,170422116267,2室2厅1厨1卫,中楼层 (共30层),87.07,平层,暂无数据,板楼,南,钢混结构,简装,两梯四户,有,暂无数据,,,
15,旭江华庭,滨江区,奥体,近地铁6号线 奥体中心站,235,39213,2025-03-27,商品房,2018-05-23,商住两用,满五年,共有,无抵押,已上传房本照片,200330482120,1室1厅1厨1卫,高楼层 (共26层),59.93,平层,暂无数据,塔楼,东,钢混结构,其他,五梯十九户,有,暂无数据,商水,商电,3.1元/m3
16,旭江华庭,滨江区,奥体,近地铁6号线 奥体中心站,138,23386,2025-02-13,商品房,2018-04-24,商住两用,满五年,非共有,无抵押,已上传房本照片,210309OP386052,1室1厅1厨1卫,低楼层 (共26层),59.01,暂无数据,暂无数据,塔楼,东,钢混结构,其他,五梯十七户,有,暂无数据,商水,商电,3.1元/m3
17,江南文苑,滨江区,浦沿,近地铁4号线杨家墩站,265,29709,2023-03-07,商品房,2011-08-12,普通住宅,满五年,共有,有抵押 50万元,已上传房本照片,210704QE027598,2室2厅1厨1卫,低楼层 (共24层),89.2,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,,,
18,钱塘福苑,滨江区,浦沿,null,265,28683,2024-08-27,商品房,2024-06-05,普通住宅,未满两年,共有,无抵押,已上传房本照片,240823VP688622,2室2厅1厨1卫,低楼层 (共26层),92.39,平层,暂无数据,板楼,南,钢混结构,简装,两梯四户,有,暂无数据,,,
19,欣盛东方郡东区,滨江区,滨江区政府,null,450,50785,2025-01-06,商品房,2011-04-09,普通住宅,满五年,共有,有抵押 100万元,已上传房本照片,241229UU628332,2室2厅1厨1卫,中楼层 (共18层),88.61,平层,67.64,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,,,
20,通策广场,滨江区,彩虹城,近地铁6号线(杭富线)伟业路站,428,44897,2024-04-17,商品房,2016-01-13,普通住宅,满五年,共有,有抵押,已上传房本照片,171025455418,2室1厅1厨1卫,中楼层 (共10层),95.33,平层,80.08,板楼,南,钢混结构,精装,一梯两户,有,暂无数据,,,
21,旭江华庭,滨江区,奥体,近地铁6号线 奥体中心站,260,17995,2018-10-22,商品房,2018-04-18,商住两用,满五年,共有,无抵押,已上传房本照片,190530782421,2室2厅2厨2卫,低楼层 (共26层),144.49,平层,137.99,塔楼,南,钢混结构,精装,五梯十八户,有,暂无数据,商水,商电,3.1元/m3
22,钱塘大观,滨江区,浦沿,null,310,34844,2022-12-04,商品房,2017-10-09,普通住宅,满五年,共有,有抵押 75万元,已上传房本照片,190817971423,2室2厅1厨1卫,中楼层 (共33层),88.97,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,,,
23,东和云第,滨江区,浦沿,近地铁4号线浦沿站,289,33590,2024-08-23,商品房,2022-07-22,普通住宅,满两年,非共有,有抵押,已上传房本照片,210904NO898444,2室2厅1厨1卫,高楼层 (共32层),86.04,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,,,
24,傲旋城,滨江区,长河,null,330,36868,2025-01-04,商品房,2024-12-26,普通住宅,未满两年,非共有,无抵押,已上传房本照片,250104SK360824,2室2厅1厨2卫,高楼层 (共69层),89.51,跃层,暂无数据,塔楼,南 西南 西,混合结构,精装,八梯十六户,有,暂无数据,,,
25,钱塘帝景,滨江区,彩虹城,null,560,62313,2022-09-08,商品房,2015-12-31,普通住宅,满五年,非共有,有抵押,已上传房本照片,201110MI193449,2室2厅1厨1卫,中楼层 (共45层),89.87,平层,68.53,板楼,南,钢混结构,精装,三梯六户,有,暂无数据,,,
26,六合天寓,滨江区,彩虹城,近地铁4号线联庄站,520,51521,2022-03-29,商品房,2021-06-30,普通住宅,满两年,非共有,有抵押,已上传房本照片,200510901096,2室2厅1厨1卫,低楼层 (共32层),100.93,平层,暂无数据,板楼,西,钢混结构,精装,两梯四户,有,暂无数据,,,
27,江南文苑,滨江区,浦沿,近地铁6号线(杭富线)西浦路站,288,32404,2025-05-02,商品房,2012-01-17,普通住宅,满五年,共有,有抵押,已上传房本照片,250504ID334785,2室2厅1厨1卫,高楼层 (共10层),88.88,平层,72,板楼,南,砖混结构,其他,一梯两户,有,暂无数据,,,
28,臻奥院,滨江区,奥体,近地铁6号线 奥体中心站,188,32948,2024-01-18,商品房,2023-06-01,商住两用,未满两年,非共有,无抵押,已上传房本照片,240118XR738756,1室1厅1厨1卫,低楼层 (共23层),57.06,暂无数据,暂无数据,塔楼,南,钢混结构,精装,四梯二十六户,有,暂无数据,商水,商电,3.1元/m3
29,滨兴小区西区,滨江区,长河,近地铁6号线(杭富线)长河站,340,36267,2024-05-29,商品房,2020-08-21,普通住宅,满两年,共有,无抵押,已上传房本照片,200510817066,2室2厅1厨1卫,中楼层 (共6层),93.75,平层,暂无数据,板楼,南,砖混结构,精装,一梯三户,有,暂无数据,,,
30,钱塘帝景,滨江区,彩虹城,null,439,50155,2024-02-22,商品房,2014-04-08,普通住宅,满五年,共有,无抵押,已上传房本照片,201019ZR742654,2室1厅1厨1卫,中楼层 (共45层),87.53,平层,66.75,板楼,南,钢混结构,精装,三梯六户,有,暂无数据,,,
31,中南白马湖壹号,滨江区,白马湖,null,265,34623,2024-06-14,商品房,2018-07-16,普通住宅,满五年,共有,有抵押,已上传房本照片,190527446110,2室2厅1厨1卫,低楼层 (共18层),76.54,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,,,
32,江南文苑,滨江区,浦沿,null,295,33398,2025-02-15,商品房,2011-04-18,普通住宅,满五年,共有,有抵押,已上传房本照片,250216HV778286,2室2厅1厨1卫,中楼层 (共26层),88.33,平层,69.5,板楼,南,钢混结构,其他,两梯三户,有,暂无数据,,,
33,钱塘大观,滨江区,浦沿,null,300,33731,2025-02-07,商品房,2017-12-21,普通住宅,满五年,非共有,有抵押,已上传房本照片,240703SE429482,2室1厅1厨1卫,低楼层 (共32层),88.94,平层,暂无数据,板楼,南,钢混结构,其他,两梯四户,有,暂无数据,,,
34,旭江华庭,滨江区,奥体,近地铁6号线 奥体中心站,158,24167,2021-07-23,商品房,2018-05-18,商住两用,满五年,非共有,有抵押,已上传房本照片,180813141627,1室0厅1厨1卫,低楼层 (共26层),65.38,平层,暂无数据,塔楼,南,钢混结构,精装,五梯十七户,有,暂无数据,商水,商电,3.1元/m3
35,海威新界,滨江区,滨江区政府,近地铁6号线(杭富线)星民站,185,44579,2025-04-18,商品房,2019-04-09,商住两用,满五年,共有,有抵押,已上传房本照片,250423XB668001,2室2厅1厨1卫,高楼层 (共20层),41.5,暂无数据,暂无数据,板楼,南,钢混结构,精装,四梯三十七户,有,暂无数据,商水,商电,
36,印月尚庭,滨江区,滨江区政府,近地铁6号线 奥体中心站,380,45839,2025-05-06,已购公房,2024-06-17,普通住宅,未满两年,非共有,无抵押,已上传房本照片,250507SQ588605,2室2厅1厨1卫,高楼层 (共31层),82.9,平层,暂无数据,板楼,南,钢混结构,其他,两梯三户,有,暂无数据,,,
37,钱塘帝景,滨江区,彩虹城,null,429,49012,2024-08-08,商品房,2014-08-13,普通住宅,满五年,共有,有抵押,已上传房本照片,210413JY924217,2室2厅1厨1卫,高楼层 (共45层),87.53,平层,66.75,板楼,南,钢混结构,精装,三梯六户,有,暂无数据,,,
38,海威天地,滨江区,滨江区政府,近1号线(萧山国际机场-湘湖)滨和路站,162,32728,2023-10-17,商品房,2022-07-12,商住两用,满两年,非共有,有抵押 80万元,已上传房本照片,231018DW736674,2室1厅1厨1卫,中楼层 (共29层),49.5,暂无数据,暂无数据,板楼,北,钢混结构,精装,七梯二十八户,有,暂无数据,商水,商电,
39,钱塘福苑,滨江区,浦沿,null,210,22535,2024-11-27,商品房,2024-02-28,普通住宅,未满两年,共有,无抵押,已上传房本照片,241128ZX869944,2室2厅1厨1卫,中楼层 (共28层),93.19,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,暂无数据,,,
40,臻奥院,滨江区,奥体,近地铁6号线 奥体中心站,1160,84058,2023-11-25,商品房,2023-11-02,商住两用,未满两年,共有,无抵押,已上传房本照片,231128FF898958,2室2厅1厨2卫,低楼层 (共48层),138,平层,暂无数据,塔楼,西北,钢混结构,精装,两梯六户,有,暂无数据,商水,商电,3.09元/m3
41,寰宇天下C区,滨江区,滨江区政府,近地铁6号线江陵路站,560,62696,2023-02-16,商品房,2015-03-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,210926QC189861,2室1厅1厨2卫,中楼层 (共33层),89.32,平层,69.78,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,,,
42,海威新界,滨江区,滨江区政府,近地铁6号线(杭富线)星民站,140,33501,2024-10-22,商品房,2024-10-21,商住两用,未满两年,共有,无抵押,已上传房本照片,241023YM342317,2室1厅1厨1卫,低楼层 (共20层),41.79,暂无数据,暂无数据,板楼,西,钢混结构,精装,四梯三十七户,有,暂无数据,商水,商电,
43,南岸晶都花园,滨江区,长河,近地铁5号线聚才路站,320,31296,2023-12-16,商品房,2008-01-23,普通住宅,满五年,共有,无抵押,已上传房本照片,240104QL151814,2室2厅1厨1卫,中楼层 (共26层),102.25,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,,,
44,龙禧大酒店,滨江区,彩虹城,近地铁6号线(杭富线)伟业路站,240,33072,2024-09-01,商品房,2021-04-21,普通住宅,满两年,共有,无抵押,已上传房本照片,180307151477,2室1厅1厨1卫,高楼层 (共28层),72.57,平层,51.04,板楼,南,钢混结构,精装,两梯十八户,有,暂无数据,,,
45,钱塘帝景,滨江区,彩虹城,null,510,56718,2024-12-08,商品房,2015-12-03,普通住宅,满五年,共有,有抵押,已上传房本照片,241208GK162370,2室2厅1厨1卫,中楼层 (共45层),89.92,平层,68.57,板楼,南 北,钢混结构,其他,三梯六户,有,暂无数据,,,
46,湘云雅苑,滨江区,滨江区政府,null,285,34897,2024-12-14,商品房,2024-10-11,普通住宅,未满两年,非共有,无抵押,已上传房本照片,241104SK832473,2室2厅1厨1卫,低楼层 (共6层),81.67,平层,暂无数据,板楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,,,
47,绿城巧园,滨江区,浦沿,近地铁4号线杨家墩站,335,38013,2024-12-19,商品房,2016-06-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,230813LS465974,2室1厅1厨1卫,高楼层 (共18层),88.13,平层,暂无数据,板楼,南,钢混结构,其他,两梯两户,有,暂无数据,,,
48,盛庐小区,滨江区,长河,近地铁6号线(杭富线)建业路站,470,47123,2024-05-20,商品房,2021-07-14,普通住宅,满两年,共有,无抵押,已上传房本照片,210123DX588711,2室2厅1厨1卫,高楼层 (共18层),99.74,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,有,暂无数据,,,
49,中赢康康谷,滨江区,滨江区政府,近1号线(萧山国际机场-湘湖)滨和路站,117,26978,2024-04-09,商品房,2017-11-28,商住两用,满五年,共有,有抵押,已上传房本照片,171025471576,2室2厅1厨2卫,中楼层 (共19层),43.37,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯三十一户,有,暂无数据,民水,民电,3.1元/m3
50,瑞立东方花城,滨江区,西兴,近地铁5号线滨康路站,310,35735,2021-10-29,商品房,2016-03-31,普通住宅,满五年,共有,无抵押,已上传房本照片,200703ZP875845,2室1厅1厨1卫,低楼层 (共24层),86.75,平层,65.34,板塔结合,南,混合结构,简装,两梯三户,有,暂无数据,,,
51,银杏汇,滨江区,彩虹城,近地铁4号线联庄站,298,43973,2022-03-18,商品房,2022-03-18,商住两用,满两年,非共有,无抵押,已上传房本照片,220319US220933,1室2厅1厨1卫,中楼层 (共20层),67.77,平层,暂无数据,板楼,东 东南,钢混结构,精装,两梯十六户,有,暂无数据,未知,未知,3.1元/m3
52,金盛曼城,滨江区,浦沿,近地铁4号线浦沿站,255,29818,2025-02-24,商品房,2014-10-14,普通住宅,满五年,共有,有抵押 1万元,已上传房本照片,250225NN258016,2室2厅1厨1卫,中楼层 (共11层),85.52,平层,68.69,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,,,
53,瑞立东方花城,滨江区,西兴,近地铁5号线滨康路站,330,37407,2023-06-22,商品房,2016-05-18,普通住宅,满五年,非共有,有抵押,已上传房本照片,230623VI128611,2室2厅1厨1卫,低楼层 (共24层),88.22,平层,65.6,板塔结合,南,框架结构,精装,两梯四户,有,暂无数据,,,
54,现代印象广场,滨江区,彩虹城,null,142,15009,2025-02-21,商品房,2020-06-30,写字楼,满两年,非共有,无抵押,已上传房本照片,200729LF948887,2室1厅1厨0卫,中楼层 (共28层),94.61,平层,暂无数据,板楼,南,钢结构,其他,三梯十九户,有,暂无数据,,,
55,潮人汇,滨江区,彩虹城,近地铁6号线(杭富线)伟业路站,185,14865,2021-10-28,商品房,2017-10-31,商住两用,满五年,非共有,无抵押,已上传房本照片,170906280763,2室2厅1厨1卫,高楼层 (共21层),124.46,平层,暂无数据,板楼,南,钢混结构,精装,三梯十八户,有,暂无数据,民水,民电,3.1元/m3
56,保亿风景蝶院观园,滨江区,白马湖,null,249,30263,2025-01-21,商品房,2014-03-06,普通住宅,满五年,共有,有抵押,已上传房本照片,250208XO732818,2室2厅1厨1卫,高楼层 (共25层),82.28,平层,暂无数据,板塔结合,南,钢混结构,其他,两梯三户,有,暂无数据,,,
57,君景庭,滨江区,浦沿,近地铁6号线(杭富线)中医药大学站,293,34675,2023-10-05,商品房,2018-01-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,170807414269,2室2厅1厨1卫,低楼层 (共25层),84.5,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,,,
58,水印城,滨江区,长河,近地铁6号线(杭富线)长河站,388,37485,2025-03-15,商品房,2015-07-28,普通住宅,满五年,共有,有抵押 80万元,已上传房本照片,250316DC608632,2室1厅1厨1卫,中楼层 (共32层),103.51,平层,76.9,塔楼,东北,钢混结构,精装,两梯六户,有,暂无数据,,,
59,旭江华庭,滨江区,奥体,近地铁6号线 奥体中心站,200,33373,2023-06-13,商品房,2018-06-06,商住两用,满五年,非共有,有抵押,已上传房本照片,230613JS189442,1室1厅1厨1卫,中楼层 (共26层),59.93,暂无数据,暂无数据,塔楼,南,钢混结构,精装,五梯十七户,有,暂无数据,商水,商电,3.1元/m3
60,绿城明月江南,滨江区,滨江区政府,近地铁6号线(杭富线)星民站,450,51148,2024-09-12,商品房,2016-07-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,240909AH832150,2室1厅1厨1卫,高楼层 (共30层),87.98,平层,暂无数据,板楼,南,混合结构,精装,两梯两户,有,暂无数据,,,
61,傲旋城,滨江区,长河,null,200,25372,2025-02-19,商品房,2024-12-26,普通住宅,未满两年,非共有,无抵押,已上传房本照片,250226MJ501326,2室2厅1厨2卫,低楼层 (共66层),78.83,平层,暂无数据,塔楼,南,混合结构,其他,四梯十三户,有,暂无数据,,,
62,倾城之恋,滨江区,滨江区政府,近地铁6号线(杭富线)江汉路站,480,43455,2025-03-31,商品房,2016-05-13,普通住宅,满五年,共有,有抵押,已上传房本照片,220514JY755682,2室2厅1厨1卫,低楼层 (共29层),110.46,平层,82.67,塔楼,南,钢混结构,其他,两梯三户,有,暂无数据,,,
63,傲旋城,滨江区,长河,null,690,42159,2024-10-11,商品房,2024-10-10,普通住宅,未满两年,共有,有抵押,已上传房本照片,241010JX490569,2室1厅1厨2卫,中楼层 (共66层),163.67,平层,暂无数据,塔楼,南,混合结构,毛坯,四梯四户,有,暂无数据,,,
64,中兴和园,滨江区,彩虹城,null,228,26277,2024-07-07,商品房,2011-05-09,普通住宅,满五年,非共有,有抵押 30万元,已上传房本照片,240708FF001218,2室2厅1厨1卫,低楼层 (共11层),86.77,平层,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,暂无数据,,,
65,星汇荣邸,滨江区,浦沿,近地铁4号线杨家墩站,305,34278,2024-11-06,商品房,2016-10-18,普通住宅,满五年,共有,有抵押,已上传房本照片,230620GL943623,2室2厅1厨1卫,中楼层 (共30层),88.98,平层,暂无数据,板塔结合,南 北,钢混结构,简装,两梯四户,有,暂无数据,,,
66,中赢康康谷,滨江区,滨江区政府,近1号线(萧山国际机场-湘湖)滨和路站,100,22198,2024-04-07,商品房,2018-05-09,商住两用,满五年,非共有,无抵押,已上传房本照片,171102843097,2室1厅1厨2卫,中楼层 (共19层),45.05,暂无数据,暂无数据,板楼,东北,钢混结构,精装,两梯三十一户,有,暂无数据,民水,民电,3.1元/m3
67,钱江湾花园,滨江区,浦沿,null,440,37987,2023-03-20,商品房,2009-07-07,普通住宅,满五年,共有,有抵押,已上传房本照片,230317NA207927,2室2厅1厨1卫,高楼层 (共10层),115.83,平层,98.38,板楼,南 北,钢混结构,精装,一梯两户,有,暂无数据,,,
68,寰宇天下D区,滨江区,滨江区政府,null,436,49597,2024-02-19,商品房,2014-06-17,普通住宅,满五年,共有,无抵押,已上传房本照片,240221VH567216,2室2厅1厨2卫,高楼层 (共30层),87.91,平层,66.9,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,,,
69,星光国际公馆,滨江区,滨江区政府,null,245,19191,2022-06-14,商品房,2021-06-01,商住两用,满两年,非共有,无抵押,已上传房本照片,200316874170,2室1厅1厨2卫,中楼层 (共26层),127.67,平层,暂无数据,板塔结合,南,钢混结构,精装,三梯十九户,有,暂无数据,商水,商电,
70,瑞立中央花城,滨江区,滨江区政府,null,300,55649,2024-03-21,商品房,2018-03-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,240321FJ356338,1室1厅1厨1卫,低楼层 (共31层),53.91,平层,暂无数据,板楼,南,钢混结构,精装,两梯八户,有,暂无数据,,,
71,中赢康康谷,滨江区,滨江区政府,近1号线(萧山国际机场-湘湖)滨和路站,130,28317,2024-12-14,商品房,2017-11-13,商住两用,满五年,共有,无抵押,已上传房本照片,201122IP561795,2室1厅1厨2卫,低楼层 (共19层),45.91,暂无数据,暂无数据,板楼,北,钢混结构,其他,两梯三十一户,有,暂无数据,民水,民电,3.1元/m3
72,海威新界,滨江区,滨江区政府,近地铁6号线(杭富线)星民站,215,47778,2023-05-25,商品房,2019-07-05,商住两用,满五年,共有,无抵押,已上传房本照片,230530XH716778,2室1厅1厨1卫,中楼层 (共20层),45,暂无数据,暂无数据,板楼,东,钢混结构,精装,四梯三十七户,有,暂无数据,商水,商电,
73,龙禧大酒店,滨江区,彩虹城,近地铁6号线(杭富线)伟业路站,238,32568,2023-04-01,商品房,2013-01-28,普通住宅,满五年,共有,无抵押,已上传房本照片,230329LK981411,2室1厅1厨1卫,高楼层 (共28层),73.08,平层,暂无数据,板楼,南,钢混结构,精装,两梯十八户,有,暂无数据,,,
74,超级星期天,滨江区,浦沿,null,211,28149,2022-08-12,商品房,2016-08-01,普通住宅,满五年,共有,无抵押,已上传房本照片,220812HZ435354,2室2厅1厨1卫,中楼层 (共14层),74.96,平层,暂无数据,板楼,南,钢混结构,简装,八梯一百三十八户,有,暂无数据,,,
75,春波南苑,滨江区,长河,null,265,31045,2024-07-04,商品房,2016-05-07,普通住宅,满五年,共有,无抵押,已上传房本照片,240707RZ853411,2室2厅1厨1卫,低楼层 (共18层),85.36,平层,暂无数据,板塔结合,南,砖混结构,简装,两梯四户,有,暂无数据,,,
76,欣盛东方郡,滨江区,滨江区政府,近1号线(萧山国际机场-湘湖)滨和路站,420,47447,2023-06-29,商品房,2018-02-08,普通住宅,满五年,共有,无抵押,已上传房本照片,171129108359,2室1厅1厨1卫,中楼层 (共33层),88.52,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,,,
77,瑞立东方花城,滨江区,西兴,近地铁5号线滨康路站,360,40170,2018-07-12,商品房,2016-03-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,180105914892,2室1厅1厨2卫,低楼层 (共24层),89.62,平层,66.64,板塔结合,南,框架结构,毛坯,两梯四户,有,暂无数据,,,
78,江南文苑,滨江区,浦沿,null,270,30568,2023-07-18,商品房,2020-07-19,普通住宅,满两年,共有,有抵押 90万元,已上传房本照片,201024VS347350,2室2厅1厨1卫,低楼层 (共26层),88.33,平层,69.5,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,,,
79,世茂智慧之门,滨江区,滨江区政府,近地铁6号线(杭富线)星民站,125,27809,2024-10-10,商品房,2024-10-09,商住两用,未满两年,非共有,无抵押,已上传房本照片,241012ZX795944,2室2厅1厨1卫,低楼层 (共61层),44.95,暂无数据,暂无数据,板楼,南,钢混结构,精装,四梯四十二户,有,暂无数据,商水,商电,
80,莱蒙水榭春天,滨江区,奥体,近地铁6号线 奥体中心站,355,61526,2019-08-10,商品房,2020-12-30,普通住宅,满两年,非共有,有抵押,已上传房本照片,171010735356,1室2厅1厨2卫,低楼层 (共25层),57.7,平层,暂无数据,板楼,南,钢混结构,精装,两梯十五户,有,暂无数据,,,
81,超级星期天,滨江区,浦沿,null,160,21760,2025-01-02,商品房,2006-01-07,普通住宅,满五年,共有,无抵押,已上传房本照片,250103FM183099,2室1厅1厨1卫,高楼层 (共14层),73.53,平层,50.24,板楼,南,钢混结构,简装,八梯一百三十八户,有,暂无数据,,,
82,绿城明月江南,滨江区,滨江区政府,近地铁6号线(杭富线)星民站,510,57092,2024-06-05,商品房,2016-11-29,普通住宅,满五年,共有,有抵押,已上传房本照片,240602XU043496,2室2厅1厨1卫,中楼层 (共18层),89.33,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,,,
83,臻奥院,滨江区,奥体,近地铁6号线 奥体中心站,265,43259,2024-11-23,商品房,2024-11-27,商住两用,未满两年,非共有,无抵押,已上传房本照片,220112JS643954,3室1厅1厨1卫,高楼层 (共23层),61.26,暂无数据,暂无数据,塔楼,南,钢混结构,其他,四梯二十六户,有,暂无数据,商水,商电,3.1元/m3
84,臻奥院,滨江区,奥体,近地铁6号线 奥体中心站,270,44075,2024-10-25,商品房,2021-08-05,商住两用,满两年,共有,有抵押,已上传房本照片,220312WX350341,3室1厅1厨1卫,高楼层 (共23层),61.26,暂无数据,暂无数据,塔楼,东,钢混结构,精装,四梯二十六户,有,暂无数据,商水,商电,3.1元/m3
85,中赢康康谷,滨江区,滨江区政府,近1号线(萧山国际机场-湘湖)滨和路站,110,24081,2021-06-06,商品房,2017-09-21,商住两用,满五年,非共有,无抵押,已上传房本照片,170907414582,2室1厅1厨2卫,中楼层 (共14层),45.68,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯十四户,有,暂无数据,商水,商电,1元/m3
86,钱塘帝景,滨江区,彩虹城,null,420,48410,2024-09-16,商品房,2015-06-26,普通住宅,满五年,共有,无抵押,已上传房本照片,240921NT393999,2室2厅1厨1卫,低楼层 (共45层),86.76,平层,66.16,板楼,南,钢混结构,精装,三梯六户,有,暂无数据,,,
